iter	Passed	Remaining
438	1311	1676
439	1314	1672
440	1316	1669
441	1319	1665
442	1321	1662
443	1324	1658
444	1327	1655
445	1329	1651
446	1332	1647
447	1334	1644
448	1337	1641
449	1340	1637
450	1342	1634
451	1344	1630
452	1347	1627
453	1350	1623
454	1352	1620
455	1355	1616
456	1357	1613
457	1360	1609
458	1362	1605
459	1365	1602
460	1367	1599
461	1370	1595
462	1372	1592
463	1375	1588
464	1377	1585
465	1380	1581
466	1382	1578
467	1385	1574
468	1387	1571
469	1390	1568
470	1393	1564
471	1395	1561
472	1398	1557
473	1400	1554
474	1403	1551
475	1405	1547
476	1408	1544
477	1411	1541
478	1413	1537
479	1416	1534
480	1418	1530
481	1421	1527
482	1424	1524
483	1426	1520
484	1429	1517
485	1431	1514
486	1434	1510
487	1436	1507
488	1439	1504
489	1442	1500
490	1444	1497
491	1447	1494
492	1449	1490
493	1452	1487
494	1454	1483
495	1456	1480
496	1459	1477
497	1461	1473
498	1464	1470
499	1467	1467
500	1469	1463
501	1472	1460
502	1474	1457
503	1477	1453
504	1479	1450
505	1482	1447
506	1485	1444
507	1487	1440
508	1490	1437
509	1492	1433
510	1494	1430
511	1497	1427
512	1500	1424
513	1503	1421
514	1506	1418
515	1509	1415
516	1512	1412
517	1528	1422
518	1531	1419
519	1534	1416
520	1536	1412
521	1539	1409
522	1542	1406
523	1545	1403
524	1547	1400
525	1550	1397
526	1553	1394
527	1556	1391
528	1559	1388
529	1562	1385
530	1564	1382
531	1568	1379
532	1571	1376
533	1574	1373
534	1577	1371
535	1580	1368
536	1583	1365
537	1585	1361
538	1588	1358
539	1591	1355
540	1593	1352
541	1596	1349
542	1599	1346
543	1602	1342
544	1604	1339
545	1607	1336
546	1610	1333
547	1612	1330
548	1615	1327
549	1618	1324
550	1621	1321
551	1624	1318
552	1628	1316
553	1631	1313
554	1634	1310
555	1638	1308
556	1642	1306
557	1645	1303
558	1646	1299
559	1650	1296
560	1654	1294
561	1657	1291
562	1659	1288
563	1662	1285
564	1665	1282
565	1668	1279
566	1671	1276
567	1673	1273
568	1676	1270
569	1679	1266
570	1682	1264
571	1685	1260
572	1688	1258
573	1691	1255
574	1694	1252
575	1696	1249
576	1699	1245
577	1703	1243
578	1706	1240
579	1709	1238
580	1712	1235
581	1715	1232
582	1718	1229
583	1722	1226
584	1724	1223
