iter	Logloss
0	0.6380591926
1	0.591063062
2	0.552171252
3	0.5171578901
4	0.4875684459
5	0.4612932746
6	0.4365313247
7	0.4138362489
8	0.3943488668
9	0.3784166293
10	0.3626041928
11	0.3483108053
12	0.3357957756
13	0.3228929854
14	0.3114201466
15	0.3019801682
16	0.2933135112
17	0.2850675955
18	0.2761427611
19	0.2687567077
20	0.2622347883
21	0.2552868231
22	0.2502618457
23	0.2443099348
24	0.2384488478
25	0.2341879458
26	0.2290607689
27	0.2241600221
28	0.2199921817
29	0.2164256649
30	0.2127670766
31	0.2097233898
32	0.2067002448
33	0.2039551113
34	0.2003338267
35	0.1972069192
36	0.1944613043
37	0.191492443
38	0.1888077138
39	0.1869099823
40	0.1848461643
41	0.1823932207
42	0.1794427232
43	0.1778260095
44	0.1761545227
45	0.1745290284
46	0.1726078977
47	0.1706233703
48	0.1686699287
49	0.1672954633
50	0.1651738888
51	0.1639036921
52	0.1619067162
53	0.160631048
54	0.159729945
55	0.1582739006
56	0.1569478026
57	0.1557645744
58	0.1546795228
59	0.1533093827
60	0.1520851278
61	0.1509153664
62	0.1495343775
63	0.1485254938
64	0.147487324
65	0.1465431742
66	0.1456469569
67	0.144799539
68	0.1437912849
69	0.1431231472
70	0.1421158203
71	0.1413082157
72	0.1402418564
73	0.1394709293
74	0.1384380113
75	0.1375651457
76	0.1367832983
77	0.1359102713
78	0.1354741252
79	0.1348077204
80	0.1341151366
81	0.1331747418
82	0.1324810532
83	0.1317353709
84	0.1309169646
85	0.1302696414
86	0.1296158573
87	0.1291517416
88	0.1286864372
89	0.1280008546
90	0.1275746884
91	0.1271476721
92	0.1265134333
93	0.1260165268
94	0.125656658
95	0.1250203885
96	0.1243519178
97	0.1238477845
98	0.1235108751
99	0.1232033269
